seleccion,elo,forma_pts,forma_dif_gol,gf_prom,gc_prom
Alderney,1180.9660831565093,0.6,-2.3,0.9636363636363636,3.290909090909091
Taiwan,1180.8087255616915,0.6,-1.5,0.9818181818181818,3.3636363636363638
Somalia,1180.347963486058,0.5,-1.3,0.38181818181818183,1.4727272727272727
Pakistan,1179.8470815096837,1.1,-0.7,1.2363636363636363,1.0909090909090908
British Virgin Islands,1170.4554110997037,1.4,0.2,2.0,1.3454545454545455
Andorra,1167.3614871823158,0.6,-1.1,0.45454545454545453,1.5818181818181818
Djibouti,1162.226173566854,0.2,-2.2,0.41818181818181815,2.8181818181818183
United States Virgin Islands,1157.4808965975717,1.0,-0.5,1.8181818181818181,2.0
Cambodia,1155.0563761193193,1.1,0.2,1.8181818181818181,1.1818181818181819
Maldives,1143.823069946035,0.4,-1.4,0.36363636363636365,1.9272727272727272
Mongolia,1140.2896769804822,0.6,-1.9,0.45454545454545453,2.6545454545454548
Guam,1137.9946824864153,0.7,-1.4,1.6,3.381818181818182
Sri Lanka,1130.8884033460704,1.3,-0.6,0.8545454545454545,1.7272727272727273
Seychelles,1125.1355429452892,0.0,-5.1,0.12727272727272726,5.3090909090909095
Anguilla,1097.371151303371,0.6,-2.0,0.8909090909090909,2.9272727272727272
Liechtenstein,1095.145422437811,0.3,-3.0,0.34545454545454546,2.7818181818181817
Laos,1088.375043750555,0.5,-1.8,0.8363636363636363,2.9272727272727272
Timor-Leste,1073.7623174563976,0.3,-2.9,0.5818181818181818,3.0545454545454547
Brunei,1063.740318845575,0.7,-2.0,0.34545454545454546,3.1818181818181817
Bhutan,1040.6005414583442,0.4,-2.1,0.32727272727272727,3.1818181818181817
Macau,1021.6313327261707,0.1,-2.5,0.34545454545454546,3.109090909090909
San Marino,972.5726879854133,0.1,-3.2,0.6181818181818182,2.8545454545454545
